judul,url,sumber,tanggal,ringkasan,keyword,metode_scraping,konten
Duduk Perkara Warga Protes Suara Bising Lapangan Padel di Cilandak - CNN Indonesia,https://news.google.com/rss/articles/CBMiygFBVV95cUxQU0J6SGFRLW81NGNXRTJGRGhvelBBLWNQRzJJVDhRMjVKTENsRmxUWlRkVmJYcDI3bHRnUXc4dUNCdWpHSEk3V1lRSl9yRGhva25hWHNFNlRvZ2xsTW9pRTdyRGRhd3A4dDVfeHpNRlY5MDQyUzB1Zm1vMi1naWt1cFBjdWJQaFl0RjU1TVp2QmtjaGVUaENDdVRZYV9OVVF2OUFDUkxySDJ1VmVZQmt5ZThmTWsyLTRLVEdlbzlkTTlRUXEzSjM0dktn0gHPAUFVX3lxTE40Z1k5TEdSNHBLSkhJd3laNmx5WWFDUlo1OHo1SWUtU0lrYk5NOWZGa2pFeF9OTWhsRDNBSklPRDF6QXBSVXlpUXExZ3J0VjJ2blJvUkpCYll0ZmxOV2VCYW94VUVBaC1pSUtHNGJZUThFMk1MUE5FdVVHTGRwU3hQVjVtalFidU9fRWFWb19FQlVxMTVUc19QTE5oWW13ZFJMQkRYbFBNd21sUExjcnE2dFJ2eEplZDhtY1NPYUp3MUQ0T3FSMGY1dFZwZFAyVQ?oc=5,CNN Indonesia,2026-02-21 05:00:27,Duduk Perkara Warga Protes Suara Bising Lapangan Padel di Cilandak&nbsp;&nbsp;CNN Indonesia,padel,google_news_7d,Duduk Perkara Warga Protes Suara Bising Lapangan Padel di Cilandak&nbsp;&nbsp;CNN Indonesia
"Giliran Warga Pulomas Jaktim Tolak Lapangan Padel, Pasang Spanduk Protes - detikNews",https://news.google.com/rss/articles/CBMisAFBVV95cUxNaXJMTUhXVHVWQk9tUkpTMl9KZk44UXdoTUdOczhLYW8xYmFiZVVsWHVUc3ZJMjNBWldaQzkyTGdnZlVuWDlsd0hYell0ZklvR29Bcmt5UHM3Y3daVk1xYk9sVVphRTNvQm5mbEl1amNDWnFTcll2V20tOU55Zmk3bWhLNkNvVU1tdnpwZEJrX1BjSThTRWN6Z3BhaGxvQnd2aERzZUtOOUNlLVBfdDJIMtIBtgFBVV95cUxQLWFYaHRjbE1sdTdtLWVxTTV1WlhEYXRNX2xCVE5sWVpCZ2ZxWDJWbnVLWXEwZ3ljRXdLcFVwR2NYVjdfUEdYRUh6VjJRVWxBZW8wcjgtWk5FOFhCbU9FTHdsQl9rZDVlcU9DaG5MNVBjOGRXZmJCUE9MeWliVFg4VmF4Rm1IZ2FMYUU4dnR2WHk4ai1famlXYVFhZHpKWG5UUWpfZTlEb2xjM1VwamhLeXRiTHdUdw?oc=5,detikNews,2026-02-21 03:48:09,"Giliran Warga Pulomas Jaktim Tolak Lapangan Padel, Pasang Spanduk Protes&nbsp;&nbsp;detikNews",padel,google_news_7d,"Giliran Warga Pulomas Jaktim Tolak Lapangan Padel, Pasang Spanduk Protes&nbsp;&nbsp;detikNews"
Legislator Dukung Penertiban Lapangan Padel di Zona Permukiman - Beritajakarta.id,https://news.google.com/rss/articles/CBMiowFBVV95cUxNaFQwMk5GOHlCQldUc1VMMUxOc2EtUGNKb0d4d1hHUXhXNUJCMW01VC1iTGhfdEhDX0JmblhYY3JPY3ZrOVpxdkthUVk1Wk5ySHd5cFFmUy10NnU0ME1FMnlkQ21XQW5RaEFYTW5KeVU4cUR0VFNvMVVPMV95XzNuRmZxd3FtUVdzbE5YUk5Ec0ppUE1mZGg3Q05TV094ektnVVgw?oc=5,Beritajakarta.id,2026-02-24 11:14:00,Legislator Dukung Penertiban Lapangan Padel di Zona Permukiman&nbsp;&nbsp;Beritajakarta.id,padel,google_news_7d,Legislator Dukung Penertiban Lapangan Padel di Zona Permukiman&nbsp;&nbsp;Beritajakarta.id
Polisi Proses Laporan Terkait Proyek Lapangan Padel di Kebayoran Jaksel - Tribrata News,https://news.google.com/rss/articles/CBMixAFBVV95cUxQaVYyd19LeENMRXczRVY0MVBWTUJEQzdxOGloU1lTZWVWaXpqcnduVGY5UVkxaXpTMjRUem1rdU5ILXRPU1plbElibFJub1Qxb3dMM29WYXY3YUVPS082c0F3SjdGQnV4VkNSa2N1bDh0MnVqOHNkdXhjRGRtbU1RcXkwSVBWUWQtWHVDQU9EdzFZUmdnVkN0ZC1ERUZNTFZzR0dsd3JXNmJfdWI3dGJ4ODhGMG9EalpOb0JoMmQxTUszb2Ry?oc=5,Tribrata News,2026-02-24 15:54:00,Polisi Proses Laporan Terkait Proyek Lapangan Padel di Kebayoran Jaksel&nbsp;&nbsp;Tribrata News,padel,google_news_7d,Polisi Proses Laporan Terkait Proyek Lapangan Padel di Kebayoran Jaksel&nbsp;&nbsp;Tribrata News
"Warga Ngeluh Bising, Pengelola Lapangan Padel di Cilandak Pangkas Jam Buka 50% - detikNews",https://news.google.com/rss/articles/CBMitwFBVV95cUxNWE0yUXJfMTBPWk1iSTBURS1udHZRMzMwaDJ2QnAyMDQyZDJCZDk3RjdJYnByWEE2S3ZBaWRXZlZEWTFad3FESzR4eWFLY2g4Z2lwNTdOTU9hbzgtTE90d05FRURIRlJSNzMyQTl5TnZ3SWZkVC00UTYzWXhCOGJQbEZQSEUtd0RuZTdLNDNiME9fdHFFeUZGaTloSHlVdzN6ZnRnbW01ZHVPRTVOc1ViMHR4aUN4TFXSAbwBQVVfeXFMTlROLWgtM29BTW40SHl3MVIyOC1lOFNRS2tDcjZtLXhCYWViZlNzRkxnS2ZuVjRLYk9NdXRJZkRxOF9pRDRRMGZjMEV6b09vS2ZXT3BxbTdJcno2X2lMREtLVVY5ZXdCNElBVHBGYnBJQnFSdkxkVldpbTJTbjA1Qmg0a1pITGJhVVdoZ1dmU0lPWllFdW5jZ28xZEVGdTV2QkhIa043VEFHcXV2bEhFRlE2aFFXSVVYRUVsMFc?oc=5,detikNews,2026-02-19 15:02:49,"Warga Ngeluh Bising, Pengelola Lapangan Padel di Cilandak Pangkas Jam Buka 50%&nbsp;&nbsp;detikNews",padel,google_news_7d,"Warga Ngeluh Bising, Pengelola Lapangan Padel di Cilandak Pangkas Jam Buka 50%&nbsp;&nbsp;detikNews"
"Warga Pulomas Jaktim Keluhkan Lapangan Padel Bising, Berujung Gugat ke PTUN - detikNews",https://news.google.com/rss/articles/CBMitAFBVV95cUxNd0ltaGxSNmJOb1NveVhQb2NjUm1vc2VXTldfMEZZUmtVSFhPTGFHbzF3TkswdXNtZEV0eFhhQ3VFZ1ZWRjF6V3hiSy1xYmJkWTJRNVpiUXdOTEtPbTdJUTFOR3RWSHhWbklHOVRHU1ZORHJtbUo5RHJES3NINnV5alRGWUVuVTZEc19WcGxad1dnUDlXcWtocjFwd0ExdThCa05Ta1lHTENRZnJ4eEd0cU5VUzHSAboBQVVfeXFMTm1xYWc1dzcxT2pKYmtpM0d0cTdUQlQ4VGhKYzhLaXVnZjd2QnRvWkpOR3B0clMwaC1JV0hvX3hLQ1h5eDZ2eDhZSTBaTTYtanhkX25iOUx6ajlMSUxfMmlBblNqRzRKY3RLUThOT1h6dmFYNHI4aFc5YTdjU2JxQm1pQXQxTkFTQlFGbDhUY09zUzdCTDNrNU43bXVsRkJZaE9ZaHJWVlJVRDdtZHd1cEZnanhBSWtTREp3?oc=5,detikNews,2026-02-21 08:49:15,"Warga Pulomas Jaktim Keluhkan Lapangan Padel Bising, Berujung Gugat ke PTUN&nbsp;&nbsp;detikNews",padel,google_news_7d,"Warga Pulomas Jaktim Keluhkan Lapangan Padel Bising, Berujung Gugat ke PTUN&nbsp;&nbsp;detikNews"
Pramono Bans Construction of New Padel Courts in Residential Areas - Beritajakarta.id,https://news.google.com/rss/articles/CBMirAFBVV95cUxObV9SQUR5RU5FemtRRUtySXhfSE1EWjBKa2NrWlBkbHIzSFMwUGU3ejdJc1RKc3hCN093WnJ1M0ZyQ28tTW5uSThybGpNUEVsSlk5S0ZFdXo2cy1ycWpWR0t4UUNiYUFEc281ZlQxdWFmMl9QWFdhY0NlT2dHem1SREcwckd4Rl8yUGZ2YlVLNDY1NVpXWVpVT2dLS0cxUzJib3pwWWk5UTE2ZTBW?oc=5,Beritajakarta.id,2026-02-24 06:14:00,Pramono Bans Construction of New Padel Courts in Residential Areas&nbsp;&nbsp;Beritajakarta.id,padel,google_news_7d,Pramono Bans Construction of New Padel Courts in Residential Areas&nbsp;&nbsp;Beritajakarta.id
Lapangan Padel yang Berisik di Cilandak ternyata Awalnya Pakai Izin untuk Kafe dan Parkiran - Kompas.com,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOVGYzMlhKN2lLdjNzRDJyMUEzT3N1d1NwRkxXUEpXLTZZSEt4cXgybFIxQlROYnNHbUFwVjNrcXpSWDJ5WlJkSGhsbGd4T0Y1b25Fb2E1WHpYRXBCQmRlS09uZlZ5akxNZjV4U0hlRU5ReFNyWlc2MjJoZVhkdGFmdC1WeVJ6OXAzeTlGa0xMcmFmMnp0NmYwSUxKd3lvZzFOeWZUODdBWVhia0t6THBMWEg4VnNNYlZsQTB0dmJsZ0d3MU05aDItOQ?oc=5,Kompas.com,2026-02-19 14:22:00,Lapangan Padel yang Berisik di Cilandak ternyata Awalnya Pakai Izin untuk Kafe dan Parkiran&nbsp;&nbsp;Kompas.com,padel,google_news_7d,Lapangan Padel yang Berisik di Cilandak ternyata Awalnya Pakai Izin untuk Kafe dan Parkiran&nbsp;&nbsp;Kompas.com
Izin Lapangan Padel Pulomas Dipertanyakan Anggota DPRD Justin - psi.id,https://news.google.com/rss/articles/CBMigwFBVV95cUxPa0NPdlNMN09FR1lsa250U3FjS2ZPUlFmRmZpamxqY3MzRXpMaG52c3pEcTc1UjNrWFlUQ1NldzI4N0RuQkNndEhPdDB6WlFSVFFMd1BaWklrQUV3ZnU4d3FtS0tFS25XOXpra2pLSDA3dTE1ck9CV1E0VEFqRVAtbURJUQ?oc=5,psi.id,2026-02-23 07:28:02,Izin Lapangan Padel Pulomas Dipertanyakan Anggota DPRD Justin&nbsp;&nbsp;psi.id,padel,google_news_7d,Izin Lapangan Padel Pulomas Dipertanyakan Anggota DPRD Justin&nbsp;&nbsp;psi.id
"Ironi Tren Padel Jakarta: Menjamur di Permukiman, Ganggu Ketenangan Warga - Kompas.id",https://news.google.com/rss/articles/CBMiowFBVV95cUxOTFlPRjgycF9fdjlzM0tDcnhhVlJwcUo5aG8zNkVmWnZRdF9YTzl5T3phOUd2N0NQdkNOcHNCeUoxcXV6Y2VmSm9zd3hJMFpKVm5ZdXBCQkhMRHNXYnQ0Zlh4dTlPRDkyMUhDcUZJcFBKUEpXWjhwTUJLb1pvR0dhNlZldnJ2QWdyX2locjZTUEo4dldta1pFWmxvUXUtY2hmMU5Z?oc=5,Kompas.id,2026-02-24 09:27:00,"Ironi Tren Padel Jakarta: Menjamur di Permukiman, Ganggu Ketenangan Warga&nbsp;&nbsp;Kompas.id",padel,google_news_7d,"Ironi Tren Padel Jakarta: Menjamur di Permukiman, Ganggu Ketenangan Warga&nbsp;&nbsp;Kompas.id"
Jakarta Govt to Control Padel Court Operations in Crowded Neighborhoods - Beritajakarta.id,https://news.google.com/rss/articles/CBMiswFBVV95cUxNd29OQ1M4cHNjb1h1aE9Hc3lCRmR4NzBvei1ObXdweDdlZXlWV1o0V3N5MWFsejRWR0ZTZkNiR2wweXRsbzFuaFZ5SEd3X2dlMV8yckZGdGVhY3N4TEJBX1dZeFF3M2hQdmZRZzZ3NTdFSmQtNUxrZWlxZEJOalFRclZ5MlctS21GLUh2U2pPSHpUTWE3N2JFeDlRU05FUkQ5bFZFd0dlZXdVd1VuemJfOEt0Zw?oc=5,Beritajakarta.id,2026-02-23 10:55:58,Jakarta Govt to Control Padel Court Operations in Crowded Neighborhoods&nbsp;&nbsp;Beritajakarta.id,padel,google_news_7d,Jakarta Govt to Control Padel Court Operations in Crowded Neighborhoods&nbsp;&nbsp;Beritajakarta.id
Legislator Backs Bold Crackdown on Padel Courts in Jakarta’s Residential Zones - Beritajakarta.id,https://news.google.com/rss/articles/CBMi4gFBVV95cUxNVXNDSF9hNXRIWGc1ekdoYUZrZmFtS2l5YVhBb1dRdmFGR1BKQzhvRGlsalFqTW9fZjBQTno3eEc3aXpDRlVkRUhvUFVwRVNZME1qdEd1RUF4OUl5cXpIM2hsQnFPcmgzSFNnN3dJZ1o1LURIR0dsbVY3YlpZQlBZZkZna3Rxek9ZbWoyNG9ONGdxZXRTWEUzaDJCaTNjaHM1VHNBUHhfTHlUSGhKUVNMbFFka0dOeHpzc1A1cTQ0VVl1NFhwYllkTzJHYVgyVG82MUsyYi1HRmVUbWxHTk5ibVl3?oc=5,Beritajakarta.id,2026-02-25 02:35:00,Legislator Backs Bold Crackdown on Padel Courts in Jakarta’s Residential Zones&nbsp;&nbsp;Beritajakarta.id,padel,google_news_7d,Legislator Backs Bold Crackdown on Padel Courts in Jakarta’s Residential Zones&nbsp;&nbsp;Beritajakarta.id
Padel Zoning: Balancing Business Growth and Neighborhood Tranquility in Jakarta - Beritajakarta.id,https://news.google.com/rss/articles/CBMivAFBVV95cUxQTUNTT3pIQUFaeWZJeFdLX2VIV3g5QjhGQUlHcmwzRUI3b2FIS1Nac0U1aXZZWFlhMS1OUE96WGcxMUdkNEdMRDczdlJiZEV3d0oxaVdMSW92M19zLWdjM3psT09tNFZqZXpTdF9ob2ZZbkZPT3pTN2wtSFNiQXk2Zm9BbXVsVXN1aV9ZWU11XzEtYVNLRmdHVkRrdjRSS3R4d2FoWXlqb3d0ak5Hd3BUeV9Wejh6djJDVk9tdQ?oc=5,Beritajakarta.id,2026-02-25 04:05:00,Padel Zoning: Balancing Business Growth and Neighborhood Tranquility in Jakarta&nbsp;&nbsp;Beritajakarta.id,padel,google_news_7d,Padel Zoning: Balancing Business Growth and Neighborhood Tranquility in Jakarta&nbsp;&nbsp;Beritajakarta.id
Jakarta Governor to Prohibit the New Construction of Padel Courts in Residental Areas - Website Resmi Polri,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPaFVKM1Y4Zl9yYnZyenRyZUdiTlh0Njk4Uk5XNkZTMlBTQUFjV0FQQjNKTzliT1VqZXpic3lac29xOWpEME1KY2FmdGR5S3RCUlU4Vnc0eks3WFA1T1FfVUk0VlZBQXloRm9JSEhOVUJHMGFRWFFrOGZON2dMR0Y2OTg5bTZ2QjQwTGQ3MEtMUGR2SVY1ekk5VVc1Mm1ZNGRQaEE5WjM1eHJWbHZkVkpRbkw3VjVJbnBC?oc=5,Website Resmi Polri,2026-02-24 14:53:19,Jakarta Governor to Prohibit the New Construction of Padel Courts in Residental Areas&nbsp;&nbsp;Website Resmi Polri,padel,google_news_7d,Jakarta Governor to Prohibit the New Construction of Padel Courts in Residental Areas&nbsp;&nbsp;Website Resmi Polri
Polemik Lapangan Padel di Cilandak: Diprotes Warga karena Bising dan Didesak Tutup - Kompas.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQb3lQQ3cyd2p5SUJzUEM5NTNxMTBTcWpnTF92VW04WnFrYWdLcU5VckJySlRtMVlZMk16VjZsc1RxcTBOVnV4ZTMzLUoyem5POFhRb0pPMzlfNVh3alhZYTB4WG5ad1NYRkF2YThMamY1d19aTGxvZEpmVVZWdFlxS2pfLURIcjhuMmFnQ3FxU2E0WGlwTnF6eG5NMG9yZjVoSFZwQ2RsbUdvRUJaZGVkMnA0dXJfNmwyN0xkY2hkeXU?oc=5,Kompas.com,2026-02-20 00:28:00,Polemik Lapangan Padel di Cilandak: Diprotes Warga karena Bising dan Didesak Tutup&nbsp;&nbsp;Kompas.com,padel,google_news_7d,Polemik Lapangan Padel di Cilandak: Diprotes Warga karena Bising dan Didesak Tutup&nbsp;&nbsp;Kompas.com
Firm Action Against Padel Fields That Do Not Comply With Permits - Beritajakarta.id,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNU0l0Uk02Yzc1ajZCYVpzanpzNGZhSkxlZTg3MnZ6Q1Nfbk9WUHB3S1NEaHphQ1hhQXZCNDNHbzdqa0Z2d0w1eEZCOHctOTBYNXJJbW5ZSmVtUnhXUXV4S1RodVlaMHpqUDB1LXFtcHdzTExpRmh2RHM1S1ZlNjhNVVlUaFQ0TlJqVXhTbi1nMk82MExHMDlGcjJwNGhOdVFNMXNZaXpOYXh0Zw?oc=5,Beritajakarta.id,2026-02-19 13:58:03,Firm Action Against Padel Fields That Do Not Comply With Permits&nbsp;&nbsp;Beritajakarta.id,padel,google_news_7d,Firm Action Against Padel Fields That Do Not Comply With Permits&nbsp;&nbsp;Beritajakarta.id
